county,town,precinct,office,district,party,candidate,votes
Chittenden,Williston,NA,Governor,NA,Democratic,Peter Shumlin,"1,916"
Windham,Wilmington,NA,Governor,NA,Democratic,Peter Shumlin,335
Windham,Windham,NA,Governor,NA,Democratic,Peter Shumlin,111
Windsor,Windsor,NA,Governor,NA,Democratic,Peter Shumlin,597
Bennington,Winhall,NA,Governor,NA,Democratic,Peter Shumlin,164
Chittenden,Winooski,NA,Governor,NA,Democratic,Peter Shumlin,"1,078"
Lamoille,Wolcott,NA,Governor,NA,Democratic,Peter Shumlin,343
Washington,Woodbury,NA,Governor,NA,Democratic,Peter Shumlin,231
Bennington,Woodford,NA,Governor,NA,Democratic,Peter Shumlin,85
Windsor,Woodstock,NA,Governor,NA,Democratic,Peter Shumlin,884
Washington,Worcester,NA,Governor,NA,Democratic,Peter Shumlin,292
Addison,Addison,NA,Governor,NA,Republican,Brian E. Dubie,436
Orleans,Albany,NA,Governor,NA,Republican,Brian E. Dubie,219
Grand Isle,Alburgh,NA,Governor,NA,Republican,Brian E. Dubie,433
Windsor,Andover,NA,Governor,NA,Republican,Brian E. Dubie,118
Bennington,Arlington,NA,Governor,NA,Republican,Brian E. Dubie,412
Windham,Athens,NA,Governor,NA,Republican,Brian E. Dubie,54
Franklin,Bakersfield,NA,Governor,NA,Republican,Brian E. Dubie,288
Windsor,Baltimore,NA,Governor,NA,Republican,Brian E. Dubie,44
Windsor,Barnard,NA,Governor,NA,Republican,Brian E. Dubie,215
Caledonia,Barnet,NA,Governor,NA,Republican,Brian E. Dubie,412
Washington,Barre City,Washington 3-1,Governor,NA,Republican,Brian E. Dubie,741
Washington,Barre City,Washington 3-2,Governor,NA,Republican,Brian E. Dubie,579
Washington,Barre City,Washington 3-3,Governor,NA,Republican,Brian E. Dubie,111
Washington,Barre Town,NA,Governor,NA,Republican,Brian E. Dubie,"2,145"
Orleans,Barton,NA,Governor,NA,Republican,Brian E. Dubie,482
Lamoille,Belvidere,NA,Governor,NA,Republican,Brian E. Dubie,77
Bennington,Bennington,Bennington 2-1,Governor,NA,Republican,Brian E. Dubie,937
Bennington,Bennington,Bennington 2-2,Governor,NA,Republican,Brian E. Dubie,933
Rutland,Benson,NA,Governor,NA,Republican,Brian E. Dubie,205
Franklin,Berkshire,NA,Governor,NA,Republican,Brian E. Dubie,263
Washington,Berlin,NA,Governor,NA,Republican,Brian E. Dubie,576
Windsor,Bethel,NA,Governor,NA,Republican,Brian E. Dubie,382
Essex,Bloomfield,NA,Governor,NA,Republican,Brian E. Dubie,43
Chittenden,Bolton,NA,Governor,NA,Republican,Brian E. Dubie,244
Orange,Bradford,NA,Governor,NA,Republican,Brian E. Dubie,476
Orange,Braintree,NA,Governor,NA,Republican,Brian E. Dubie,247
Rutland,Brandon,NA,Governor,NA,Republican,Brian E. Dubie,731
Windham,Brattleboro,Windham 3-1,Governor,NA,Republican,Brian E. Dubie,570
Windham,Brattleboro,Windham 3-2,Governor,NA,Republican,Brian E. Dubie,327
Windham,Brattleboro,Windham 3-3,Governor,NA,Republican,Brian E. Dubie,275
Windsor,Bridgewater,NA,Governor,NA,Republican,Brian E. Dubie,195
Addison,Bridport,NA,Governor,NA,Republican,Brian E. Dubie,349
